id,name,regions,nameRU (from Regions),wikipediaUrl,websiteUrl,bordersRail,name (from bordersRail)
gzd,Горьковская железная дорога,"59,33,52,43,16,18,12,13,21,02,62,66","Пермский край, Владимирская область, Нижегородская область, Кировская область, Республика Татарстан, Удмуртская Республика, Республика Марий Эл, Республика Мордовия, Чувашская республика, Республика Башкортостан, Рязанская область, Свердловская область",http://gzd.rzd.ru/,http://gzd.rzd.ru/,"szd,svzd,mzd,kbsh","Северная железная дорога, Свердловская железная дорога, Московская железная дорога, Куйбышевская железная дорога"
vszd,Восточно-Сибирская железная дорога,"03,38","Республика Бурятия, Иркутская область",http://www.vszd.rzd.ru/,http://www.vszd.rzd.ru/,"zabvd,kras,dvzd","Забайкальская железная дорога, Красноярская железная дорога, Дальневосточная железная дорога"
dvzd,Дальневосточная железная дорога,"25,27,79,28,65,14","Приморский край, Хабаровский край, Еврейская автономная область, Амурская область, Сахалинская область, Республика Саха - Якутия",http://www.dvzd.rzd.ru/,http://www.dvzd.rzd.ru/,"vszd,zabvd","Восточно-Сибирская железная дорога, Забайкальская железная дорога"
zabvd,Забайкальская железная дорога,"28,75","Амурская область, Забайкальский край",http://www.zabzd.rzd.ru/,http://www.zabzd.rzd.ru/,dvzd,Дальневосточная железная дорога
kras,Красноярская железная дорога,"19,24","Республика Хакассия, Красноярский край",http://kras.rzd.ru/,http://kras.rzd.ru/,"zszd,vszd","Западно-Сибирская железная дорога, Восточно-Сибирская железная дорога"
zszd,Западно-Сибирская железная дорога,"54,55,70,22,42","Новосибирская область, Омская область, Томская область, Алтайский край, Кемеровская область",http://zszd.rzd.ru/,http://zszd.rzd.ru/,"kras,yuzd","Красноярская железная дорога, Южно-Уральская железная дорога"
kzd,Калининградская железная дорога,39,Калининградская область,http://kzd.rzd.ru/,http://kzd.rzd.ru/,,
kbsh,Куйбышевская железная дорога,"58,16,03,63,73,13,68,56,74","Пензенская область, Республика Татарстан, Республика Бурятия, Самарская область, Ульяновская область, Республика Мордовия, Тамбовская область, Оренбургская область, Челябинская область",http://kbsh.rzd.ru/,http://kbsh.rzd.ru/,"mzd,gzd,yuzd,uvzd,privzd","Московская железная дорога, Горьковская железная дорога, Южно-Уральская железная дорога, Юго-Восточная железная дорога, Приволжская железная дорога"
yuzd,Южно-Уральская железная дорога,"45,56,74,66,02","Курганская область, Оренбургская область, Челябинская область, Свердловская область, Республика Башкортостан",http://yuzd.rzd.ru/,http://yuzd.rzd.ru/,"privzd,kbsh,svzd,zszd","Приволжская железная дорога, Куйбышевская железная дорога, Свердловская железная дорога, Западно-Сибирская железная дорога"
uvzd,Юго-Восточная железная дорога,"31,36,61,34,46,62,48,68,71,58,64","Белгородская область, Воронежская область, Ростовская область, Волгоградская область, Курская область, Рязанская область, Липецкая область, Тамбовская область, Тульская область, Пензенская область, Саратовская область",http://uvzd.rzd.ru/,http://uvzd.rzd.ru/,"mzd,kbsh,privzd,skzd","Московская железная дорога, Куйбышевская железная дорога, Приволжская железная дорога, Северо-Кавказская железная дорога"
skzd,Северо-Кавказская железная дорога,"23,26,61,01,05,06,07,08,09,15,20","Краснодарский край, Ставропольский край, Ростовская область, Республика Адыгея, Республика Дагестан, Республика Ингушетия, Кабардино-Балкарская Республика, Республика Калмыкия, Карачаево-Черкесская Республика, Республика Северная Осетия — Алания, Чеченская республика",http://skzd.rzd.ru/,http://skzd.rzd.ru/,"uvzd,privzd","Юго-Восточная железная дорога, Приволжская железная дорога"
szd,Северная железная дорога,"29,37,44,33,35,76,11","Архангельская область, Ивановская область, Костромская область, Владимирская область, Вологодская область, Ярославская область, Республика Коми",http://www.szd.rzd.ru/,http://www.szd.rzd.ru/,"mzd,ozd,gzd","Московская железная дорога, Октябрьская железная дорога, Горьковская железная дорога"
mzd,Московская железная дорога,"32,40,46,48,50,57,62,67,71,77,13,33,58","Брянская область, Калужская область, Курская область, Липецкая область, Московская область, Орловская область, Рязанская область, Смоленская область, Тульская область, Москва, Республика Мордовия, Владимирская область, Пензенская область",http://mzd.rzd.ru/,http://mzd.rzd.ru/,"szd,ozd,gzd,kbsh,uvzd","Северная железная дорога, Октябрьская железная дорога, Горьковская железная дорога, Куйбышевская железная дорога, Юго-Восточная железная дорога"
ozd,Октябрьская железная дорога,"47,53,60,50,76,10,77,78","Ленинградская область, Новгородская область, Псковская область, Московская область, Ярославская область, Республика Карелия, Москва, Санкт-Петербург",http://ozd.rzd.ru/,http://ozd.rzd.ru/,"ozd,mzd,szd","Октябрьская железная дорога, Московская железная дорога, Северная железная дорога"
privzd,Приволжская железная дорога,"30,34,61,64,63","Астраханская область, Волгоградская область, Ростовская область, Саратовская область, Самарская область",http://privzd.rzd.ru/,http://privzd.rzd.ru/,"yuzd,uvzd,kbsh,skzd","Южно-Уральская железная дорога, Юго-Восточная железная дорога, Куйбышевская железная дорога, Северо-Кавказская железная дорога"
svzd,Свердловская железная дорога,"66,72,59,86,89","Свердловская область, Тюменская область, Пермский край, Ханты-Мансийский автономный округ — Югра, Ямало-Ненецкий автономный округ",http://www.svzd.rzd.ru/,http://www.svzd.rzd.ru/,"gzd,yuzd,zszd","Горьковская железная дорога, Южно-Уральская железная дорога, Западно-Сибирская железная дорога"
